"term","beta","HR","CI95_low","CI95_high","p_value"
"immune_score_100",0.0318112371934252,1.03232262279684,1.0148789203953,1.0500661469282,0.000253637247167669
"age",0.0443206383362759,1.04531747001466,1.02982347907808,1.06104457250873,5.99070445580624e-09
"gradeG3",0.857030981576472,2.35615483148186,1.37924774229742,4.02499523448067,0.0017078495888347
"gradeG4",1.09845233776464,2.99952018566399,1.57928376589408,5.69696310346875,0.000790263885233544
