"comparison","rho_LGG","p_LGG","n_LGG","rho_GBM","p_GBM","n_GBM"
"HAVCR2 vs macrophage score",0.915080902838835,7.26265407476808e-205,516,0.836594048202176,1.12173321938906e-75,284
"HAVCR2 vs microglia score",0.81889181290387,4.93242824616268e-126,516,0.685463646674542,9.50081335990717e-41,284
"Macrophage score vs microglia score",0.734145051539593,1.81301719369801e-88,516,0.45199035013503,1.05089279370528e-15,284
