"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","cohort"
"HALLMARK_COAGULATION",2.03514256503352e-22,9.25064802287963e-22,1.22950405660873,0.679725979387279,2.48994448457208,138,"PLEK;C3;SERPINA1;C1QA;OLR1;CTSB;C2;A2M;APOC2;C1R;APOC1;PLAU;CFI;ANG;CFD;C1S;GNG12;ANXA1;MMP14;ITGB3;CPQ;MMP7;LEFTY2;LGMN;ADAM9;PECAM1;CTSH;SERPING1;GSN;WDR1;PROS1;PRSS23;SERPINE1;PDGFB;ITGA2;TIMP1;CFB;FN1;PLAT;F3;CFH;DPP4;THBD;MMP11;MMP9;CAPN5;MMP10;DUSP14;F2RL2;TFPI2;MMP2;THBS1;CLU;BMP1;PEF1;COMP;ACOX2;ITIH1;S100A13;MEP1A;FGG;PROC;MMP8;LAMP2;VWF;CD9;MMP1;ARF4;TMPRSS6;GNB2;FBN1;SERPINB2;SERPINC1;MMP3;LTA4H;DUSP6","TCGA-LGG+GBM"
"HALLMARK_APOPTOSIS",4.32035118668665e-21,1.8001463277861e-20,1.18665095279281,0.650882702712766,2.41581484144659,161,"IL18;CASP1;CD14;GPX1;GNA15;CD69;HMOX1;CASP4;PLCB2;CASP8;SAT1;CD44;TSPO;IL1A;IRF1;CD2;CASP6;DPYD;HGF;SOD2;TNFRSF12A;ANXA1;EMP1;IFNGR1;IL6;BCL10;IER3;GCH1;CASP7;GSN;PRF1;ISG20;TGFB2;PPT1;TNFSF10;FASLG;ATF3;TIMP1;IL1B;BMF;CFLAR;BIRC3;TAP1;FAS;CDK2;DAP;JUN;PLAT;IFITM3;CAV1;GADD45A;LUM;SQSTM1;LGALS3;CTNNB1;BAX;GSR;DNAJC3;WEE1;LMNA;ETF1;MCL1;CASP3;HSPB1;MMP2;BRCA1;CLU;GADD45B;EREG;DAP3;NEDD9;MGMT;GUCY2D;RETSAT;BIK;BTG3;TNF;RNASEL","TCGA-LGG+GBM"
"HALLMARK_HYPOXIA",1.31640539229272e-16,5.0630976626643e-16,1.04762648849882,0.575397887868328,2.16496397622272,199,"FBP1;SLC2A5;HMOX1;GLRX;PLAUR;CP;HK2;PLAC8;TNFAIP3;CXCR4;CASP6;S100A4;ANXA2;AMPD3;PLIN2;IL6;IER3;TES;PGM2;TGFBI;ISG20;SERPINE1;GBE1;PDGFB;ATF3;LOX;KLF6;CAVIN1;LDHA;PIM1;MYH9;TIPARP;GAA;CHST2;ZFP36;PNRC1;JUN;FOSL2;F3;HS3ST1;PAM;CAV1;KDELR3;LXN;NFIL3;FOS;DUSP1;CCN1;SDC4;ATP7A;PPP1R15A;CSRP2;GCK;SLC6A6;SAP30;ENO1;COL5A1;STC1;EFNA1;P4HA2;NAGK;STBD1;GYS1;PFKFB3;HEXA;GPC4;HOXB9;P4HA1;PDK3;SDC2;PHKG1;MAP3K1;CAVIN3;TGFB3;IGFBP3;SULT2B1;ADM;HSPA5;GALK1;BHLHE40;CITED2;TKTL1;GAPDH;NDRG1;TPI1;EDN2;TPST2;ERRFI1;TGM2;PGM1;ANGPTL4;PDK1;UGP2;SLC2A3;VEGFA;BGN;ACKR3;AK4;MT2A;MAFF;TMEM45A","TCGA-LGG+GBM"
"HALLMARK_P53_PATHWAY",7.20309745934042e-15,2.57253480690729e-14,0.986546283587582,0.560717615977538,2.10972870255416,199,"VAMP8;CASP1;CEBPA;DEF6;RHBDF2;FUCA1;HMOX1;ST14;PLK3;SAT1;SERTAD3;MAPKAPK3;IRAG2;IL1A;STEAP3;S100A4;RNF19B;S100A10;TGFB1;VDR;IFI30;ITGB4;IER3;RAP2B;UPP1;NINJ1;RGS16;PROCR;H2AJ;DDB2;BAK1;ATF3;LIF;SLC35D1;IRAK1;TAP1;FAS;CTSD;SOCS1;JUN;GADD45A;HDAC3;SPHK1;FOS;BAX;PVT1;PPP1R15A;SFN;GM2A;PTPN14;SEC61A1;ALOX15B;TM4SF1;RB1;H1-2;PCNA;MDM2;HBEGF;PLXNB2;TNNI1;RETSAT;STOM;PDGFA;DNTTIP2;ZFP36L1;SDC1;EPHA2;WRAP73;KIF13B;TM7SF3;NDRG1;PRMT2;SP1;VWA5A;CCNG1;TP63;TCN2;F2R;RRAD","TCGA-LGG+GBM"
"HALLMARK_MTORC1_SIGNALING",1.49542094166126e-09,4.98473647220419e-09,0.788186810800237,0.502318943081246,1.89000070955079,199,"ITGB2;DAPP1;CTSC;SLA;FGL2;CORO1A;GLRX;SLC1A5;HK2;SKAP2;CXCR4;NIBAN1;GLA;IFI30;LGMN;NAMPT;RIT1;TES;PLOD2;XBP1;PSMC2;GBE1;ACTR3;SERPINH1;RPN1;M6PR;LDHA;PSMC4;WARS1;PNP;MAP2K3;SQSTM1;PRDX1;NFIL3;BCAT1;GSR;PPP1R15A;EDEM1;SLC6A6;ENO1;CALR;STC1;ETF1;IGFBP5;PPIA;IDH1;TFRC;P4HA1;NUP205;RRM2;EIF2S2;SEC11A;YKT6;GGA2;HSPA5;BUB1;AURKA;PNO1;BHLHE40;HSP90B1;CD9;NFKBIB;GAPDH;MCM2;TPI1;PSMA3;SYTL2;CCNG1;SDF2L1;IFRD1;USO1;TXNRD1;UNG;PGM1;PDK1;LTA4H;UBE2D3;SLC2A3;CANX;PLK1","TCGA-LGG+GBM"
"HALLMARK_GLYCOLYSIS",5.71437422103598e-09,1.78574194407374e-08,0.761460801445585,0.493998219572793,1.85869356186792,199,"IL13RA1;SLC16A3;GLRX;PYGL;B4GALT1;CD44;HK2;CXCR4;DSC2;TPST1;CASP6;ANG;IER3;AKR1A1;PLOD1;PGM2;PLOD2;TGFBI;ISG20;CHST6;LDHA;PSMC4;GUSB;CHST2;MERTK;PAM;HS2ST1;CHPF2;KDELR3;GALE;GNPDA1;RARS1;NANP;SAP30;ENO1;COL5A1;STC1;CAPN5;GMPPB;DEPDC1;P4HA2;GYS1;PMM2;EXT2;CENPA;PPIA;GPC4;KIF20A;IDH1;P4HA1;PDK3;SDC2;SPAG4;SLC25A13;BIK;IGFBP3;AGL;HSPA5;MET;SDC1;AURKA;GALK1;HMMR;CITED2;TKTL1;B4GALT4;ALG1;ELF3;TPI1;PGLS;CHST4;CDK1;GLCE;ANGPTL4;LHX9;ME2;UGP2;TXN;RPE;VEGFA;AGRN;AK4","TCGA-LGG+GBM"
"HALLMARK_XENOBIOTIC_METABOLISM",2.04555068169862e-07,6.0163255344077e-07,0.690132458796796,0.467673932472305,1.75964708555318,199,"FBP1;KYNU;IRF8;HMOX1;VNN1;SLC1A5;CYP2S1;TNFRSF1A;PSMB10;FAH;TMEM176B;IGF1;TPST1;CASP6;ABCC3;UPP1;NINJ1;BLVRB;CROT;GCH1;SERTAD1;SSR3;PROS1;TGFB2;SERPINE1;MAN1A1;CFB;SLC35D1;FAS;CYP27A1;IL1R1;PTGR1;ALDH3A1;AQP9;BCAT1;GSR;SLC6A6;TDO2;CA2;AOX1;ASL;ENPEP;IDH1;CBR1;ACP2;PGD;ACOX2;ITIH1;CAT;RETSAT;ESR1;GSTM4;GSTO1;CD36;CNDP2;EPHA2;SLC22A1;ADH7;POR;NQO1;TMBIM6;SAR1B;ARG2;GSS;SPINT2;ADH5;IGFBP4;SLC46A3;ANGPTL3;CES1;REG1A;AP4B1;DDAH2;XDH;MT2A;UGDH","TCGA-LGG+GBM"
"HALLMARK_APICAL_JUNCTION",4.37404397367633e-07,1.21501221491009e-06,0.674962860011025,0.467798718729698,1.76040993606204,197,"CD86;SYK;PTPRC;FYB1;RAC2;VASP;CAP1;B4GALT1;MSN;SKAP2;ICAM1;CD274;CLDN7;VCAM1;ITGB4;ADAM9;PECAM1;CD276;FLNC;CD99;TNFRSF11B;PFN1;ACTB;TGFBI;CTNNA1;VCL;ITGB1;ITGA2;MYH9;ACTN1;NECTIN2;ARPC2;SHC1;AMIGO2;RRAS;DMP1;MYL12B;NEXN;ITGA3;CDH11;MMP9;ACTN4;ALOX15B;MPZL2;MAP3K20;MMP2;TRAF1;ZYX;BMP1;NECTIN4;ACTG2;LDLRAP1;CTNND1;CNN2;GNAI2;CDH6;CDSN;CLDN18;VWF;THBS3;ITGA9;MYL9;INPPL1;ADAM15","TCGA-LGG+GBM"
"HALLMARK_ANGIOGENESIS",1.10890440718873e-06,2.91816949260193e-06,0.643551836150722,0.693886708877317,2.11652076263455,36,"OLR1;SPP1;S100A4;FSTL1;SERPINA5;TIMP1;COL3A1;LUM;NRP1;ITGAV;THBD;KCNJ8;STC1;JAG1;COL5A2;POSTN;CXCL6;PDGFA;APOH","TCGA-LGG+GBM"
"HALLMARK_E2F_TARGETS",2.46169511359349e-06,6.15423778398373e-06,0.627256739718528,0.45109234666038,1.69811228115277,200,"SHMT1;AK2;CHEK2;DCLRE1B;RFC2;MCM5;CDC20;GINS4;HUS1;BARD1;CDCA8;KIF2C;RPA3;WEE1;PPP1R8;DEPDC1;E2F8;POLD1;KPNA2;NCAPD2;TK1;BRCA1;PCNA;DLGAP5;PRDX4;ASF1B;TFRC;SMC4;PRIM2;PTTG1;RPA2;RAD51AP1;CCNB2;BRCA2;NUP205;CHEK1;MELK;RRM2;CENPE;CKS1B;SNRPB;TACC3;KIF4A;USP1;POLD3;BIRC5;AURKA;AURKB;UBE2S;TCF19;HMMR;CTPS1;CDKN2C;MCM2;MYBL2;CDKN3;MMS22L;BUB1B;TOP2A;MCM3;PHF5A;EED;DIAPH3;CDK1;ESPL1;UNG;ZW10;TIPIN;LMNB1;POLA2;CENPM;SPC24;POLE4","TCGA-LGG+GBM"
