"gene","rho_LGG","p_value_LGG","FDR_LGG","n_LGG","rho_GBM","p_value_GBM","FDR_GBM","n_GBM","delta_rho_LGG_minus_GBM","abs_delta_rho"
"SYN1",-0.543448480789497,5.50122369740069e-41,2.23414541976896e-39,516,0.129280703843013,0.029389862951238,0.0885919152156519,284,-0.67272918463251,0.67272918463251
"PGBD5",-0.425235696528806,4.48373280616129e-24,8.18915454099119e-23,516,0.247006158206445,2.55739204760625e-05,0.000285863123475683,284,-0.672241854735252,0.672241854735252
"CMBL",-0.366876577203192,6.94094461629126e-18,8.90531233974358e-17,516,0.305320038835213,1.53335422999972e-07,2.82737986594304e-06,284,-0.672196616038406,0.672196616038406
"ANKRD55",-0.440082409213942,7.45970057326893e-26,1.50502123244477e-24,516,0.230797641178434,8.65700520016916e-05,0.000831025720397191,284,-0.670880050392376,0.670880050392376
"RFPL1S",-0.463933343842289,6.68313310727491e-29,1.56979988508552e-27,516,0.206575765660177,0.000458686593430685,0.00343007306805414,284,-0.670509109502467,0.670509109502467
"UROS",-0.42931510466918,1.4845111108245e-24,2.78055428254599e-23,516,0.238495731689748,4.9027036000221e-05,0.000507020000462172,284,-0.667810836358928,0.667810836358928
"H2BC9",0.417400740415965,3.59315654387806e-23,6.25712103329887e-22,516,-0.249096962283278,2.17166328771148e-05,0.000248150180059944,284,0.666497702699243,0.666497702699243
"PLEKHA6",-0.506726819994795,5.21710878284306e-35,1.62918569514421e-33,516,0.155084645870387,0.00884821706407024,0.0359006097821901,284,-0.661811465865182,0.661811465865182
"GHITM",-0.353240060416816,1.30850820740211e-16,1.54254877179367e-15,516,0.308306375354601,1.14238766425245e-07,2.1525506774088e-06,284,-0.661546435771417,0.661546435771417
"DNAI4",0.658389134597681,2.01246402817036e-65,1.72251674871775e-63,516,-0.000793677819193382,0.989375436895755,0.99388967816027,284,0.659182812416875,0.659182812416875
"RBM15",0.505160150185638,9.04839323086246e-35,2.79013527295115e-33,516,-0.150560944240859,0.0110660415785874,0.0425717217066748,284,0.655721094426497,0.655721094426497
"FAM155A",-0.573482506354996,1.87633079684202e-46,9.27347358218744e-45,516,0.0816540145308592,0.169975811833455,0.316750309811455,284,-0.655136520885855,0.655136520885855
"IQSEC2",-0.300698329530151,3.03529436228364e-12,2.53874465235068e-11,516,0.352104817860108,1.03319258787378e-09,2.66250826089975e-08,284,-0.652803147390259,0.652803147390259
"PDE4A",-0.444921328911449,1.87799649596428e-26,3.90036397255581e-25,516,0.206533828225069,0.000459940427609311,0.00343809249556004,284,-0.651455157136518,0.651455157136518
"ACSL4",-0.118563173052164,0.00701309077637658,0.0181391195938048,516,0.532261300741028,3.5392743405201e-22,2.69344936693289e-20,284,-0.650824473793192,0.650824473793192
"NAP1L2",-0.486532548717997,5.09458986509161e-32,1.38231736824635e-30,516,0.163908876356521,0.00562615696980742,0.0254463975988235,284,-0.650441425074518,0.650441425074518
"CACNA2D3",-0.47374261502552,3.1633225724653e-30,8.00265362477103e-29,516,0.176045074613573,0.00291118014886781,0.0152141398639891,284,-0.649787689639093,0.649787689639093
"MAPRE3",-0.40948933832642,2.78185122098482e-22,4.64664569262725e-21,516,0.239246975249301,4.63335957371198e-05,0.000482943206905718,284,-0.648736313575721,0.648736313575721
"LRGUK",0.538702332901674,3.58742036158928e-40,1.4092973827993e-38,516,-0.108836541660227,0.0670258056933282,0.16286740765353,284,0.647538874561902,0.647538874561902
"PRRT1",-0.46789422598231,1.97323731915767e-29,4.73937710019285e-28,516,0.179598027068867,0.00238129198310762,0.0129567081408597,284,-0.647492253051177,0.647492253051177
"ANK1",-0.472824628095741,4.2262216279474e-30,1.06108215993056e-28,516,0.172705169752868,0.00350466453434727,0.0175578686818015,284,-0.645529797848609,0.645529797848609
"RBP4",-0.252477342054705,6.03609060709166e-09,3.68512692624246e-08,516,0.392792513862191,6.49788620706271e-12,2.19223641008369e-10,284,-0.645269855916896,0.645269855916896
"ANO4",-0.341881871895885,1.35797112546459e-15,1.4936360367722e-14,516,0.300906050025277,2.35498061910113e-07,4.18885914376286e-06,284,-0.642787921921162,0.642787921921162
"TMEM63C",-0.567715197468627,2.32760124522277e-45,1.10680574026834e-43,516,0.0737622686088635,0.215245392695749,0.373978134401887,284,-0.64147746607749,0.64147746607749
"TDRD9",-0.327652032764892,2.23067165810779e-14,2.23704726856324e-13,516,0.313771088296454,6.60994222350447e-08,1.29707281850805e-06,284,-0.641423121061346,0.641423121061346
"MGA",0.458176390457687,3.82626646931107e-28,8.65984050952932e-27,516,-0.182126270735815,0.00205944661031561,0.0115755804729308,284,0.640302661193503,0.640302661193503
"AL136964.1",-0.570535302676361,6.836869432683e-46,3.31805490654377e-44,516,0.0681497181334407,0.252314546280013,0.416226381327477,284,-0.638685020809802,0.638685020809802
"SCG5",-0.44781376412221,8.14730789693822e-27,1.71991618238392e-25,516,0.19016677711798,0.0012816947092897,0.00792837658690978,284,-0.637980541240191,0.637980541240191
"MTCO1P12",-0.404866343919873,8.97160087135846e-22,1.45762066385939e-20,516,0.233027474873418,7.35676783921773e-05,0.000723309474444569,284,-0.63789381879329,0.63789381879329
"AL390195.2",0.496473698406249,1.82081542636901e-33,5.25062196278774e-32,516,-0.138011404862128,0.0199814183605834,0.0662759595637112,284,0.634485103268377,0.634485103268377
"ATOH8",-0.396294520864867,7.4985266817263e-21,1.15265107694531e-19,516,0.237982853415827,5.09499370653718e-05,0.00052395116177501,284,-0.634277374280694,0.634277374280694
"SCRT1",-0.63255985655821,5.06071255622693e-59,3.641843477883e-57,516,0.001071858246485,0.985651923839685,0.991793832221493,284,-0.633631714804695,0.633631714804695
"CYP4A22-AS1",-0.401961468566957,1.85510008557752e-21,2.95201292772844e-20,516,0.231477016637521,8.23959376246528e-05,0.000796064626459256,284,-0.633438485204478,0.633438485204478
"MTATP6P1",-0.386140982746934,8.56972959123008e-20,1.2343513369153e-18,516,0.24698101197851,2.56240343363015e-05,0.000286352487507385,284,-0.633121994725444,0.633121994725444
"LINC00853",-0.307874793128121,8.61272567376179e-13,7.57380893581066e-12,516,0.32521466461285,2.02713944530656e-08,4.31283020908636e-07,284,-0.63308945774097,0.63308945774097
"RETREG2",-0.42848345742352,1.86200606890473e-24,3.46236289790971e-23,516,0.204029683026558,0.000540842334240451,0.00393920435563855,284,-0.632513140450078,0.632513140450078
"TOLLIP",-0.373312093567237,1.65199019899036e-18,2.19427647145931e-17,516,0.258698630316397,1.00618415664688e-05,0.000124999031768054,284,-0.632010723883634,0.632010723883634
"MT-ND1",-0.376306949499517,8.3772155652331e-19,1.13025384403053e-17,516,0.255598309963931,1.29423094543405e-05,0.000156541363374542,284,-0.631905259463448,0.631905259463448
"H3C6",0.4622869572429,1.10450737785428e-28,2.56346451447683e-27,516,-0.168942836861227,0.00430274642051384,0.0205978050714983,284,0.631229794104127,0.631229794104127
"CDK5R2",-0.576157813744688,5.73621536578532e-47,2.89325484132659e-45,516,0.0550288598842833,0.355500296480831,0.525132991790253,284,-0.631186673628972,0.631186673628972
"SKINT1L",0.438070432249882,1.31514342627802e-25,2.61505692692262e-24,516,-0.19267959156758,0.00110081730289144,0.00700889794859014,284,0.630750023817461,0.630750023817461
"MT-ATP6",-0.386895941836139,7.17067377600978e-20,1.03866290328351e-18,516,0.241305298781718,3.96510764439416e-05,0.00042077364078499,284,-0.628201240617856,0.628201240617856
"SNRNP40",0.628203188157322,5.30311272804913e-58,3.71685038610699e-56,516,0.00106242813024698,0.985778143616821,0.991884950057153,284,0.627140760027075,0.627140760027075
"MT-RNR2",-0.41153720907386,1.64633247502574e-22,2.78285361599878e-21,516,0.214959910102235,0.000262910540639216,0.00215204296821571,284,-0.626497119176095,0.626497119176095
"VAMP2",-0.481302643542509,2.81477487555088e-31,7.42687751026366e-30,516,0.14488365940482,0.0145350091549809,0.052157947256808,284,-0.626186302947329,0.626186302947329
"HSD11B1",-0.20918093193244,1.64074643142839e-06,7.57497602630118e-06,516,0.415562895692923,2.76561518732235e-13,1.08352647945487e-11,284,-0.624743827625362,0.624743827625362
"CARMIL2",-0.519005693440909,6.30305455495512e-37,2.14975421221313e-35,516,0.105672059878416,0.0754130029614676,0.177599668269336,284,-0.624677753319326,0.624677753319326
"L1CAM",-0.585754183582406,7.4626368269882e-49,3.96586845713443e-47,516,0.0381955485937758,0.521472043253967,0.676496673580416,284,-0.623949732176182,0.623949732176182
"MCF2",-0.508147166755841,3.15900124472712e-35,9.9639943783294e-34,516,0.114542692977636,0.053837091042054,0.138567073462158,284,-0.622689859733477,0.622689859733477
"PSTPIP1",-0.0986379597910361,0.0250483452353723,0.0562649039998177,516,0.524030626010106,1.96731878090908e-21,1.41031699945926e-19,284,-0.622668585801142,0.622668585801142
"MME",-0.294262330127058,9.12237963714606e-12,7.32006176252867e-11,516,0.327271388997924,1.63056955246146e-08,3.54472726265121e-07,284,-0.621533719124983,0.621533719124983
"CNGB1",-0.269704640863673,4.74178476055008e-10,3.24570656619696e-09,516,0.35181411917053,1.06862161077709e-09,2.74509721326055e-08,284,-0.621518760034204,0.621518760034204
"LINC01537",-0.499896660939738,5.63633794260353e-34,1.6644138354188e-32,516,0.119515360068747,0.0441731094872896,0.120110629364971,284,-0.619412021008485,0.619412021008485
"MT-CO2",-0.391173752194494,2.5890828198545e-20,3.84894414674738e-19,516,0.228185778236464,0.00010454079761728,0.000981168113413754,284,-0.619359530430958,0.619359530430958
"ANKRD29",-0.295395935051505,7.53002811525096e-12,6.09076200255788e-11,516,0.323441084075137,2.44257897574316e-08,5.14090076316353e-07,284,-0.618837019126641,0.618837019126641
"TEF",-0.489762229375368,1.7468363212612e-32,4.8183852843929e-31,516,0.127776366212899,0.0313454086070728,0.0929828735386598,284,-0.617538595588267,0.617538595588267
"KCNK3",-0.576574850939576,4.76394942951903e-47,2.41363468361399e-45,516,0.0403403122847182,0.49833969705104,0.656675394043564,284,-0.616915163224294,0.616915163224294
"CCDC18",0.55933060139747,8.29622639197579e-44,3.73435956262235e-42,516,-0.0557339948188293,0.349360113626094,0.519403293653168,284,0.6150645962163,0.6150645962163
