"","coef","exp.coef.","se.coef.","z","Pr...z.."
"paper_ESTIMATE.immune.score",0.000210926672299851,1.00021094891889,8.60891808317767e-05,2.45009500917442,0.0142818524479009
"paper_IDH.statusWT",1.68630092895843,5.39947069303926,0.242587530667778,6.95130918030492,3.61911703999775e-12
"paper_GradeG3",0.769006408618461,2.15762139438238,0.279490299674182,2.75146010260441,0.00593302465269493
"paper_GradeG4",1.53671150472357,4.64927598219966,0.324121349376688,4.74116101169761,2.12496968413502e-06
