"Variable","HR","CI_lower","CI_upper","p_value"
"HAVCR2_SD",1.05047972928516,0.961710050553669,1.14744320390924,0.274283815577738
"Age",1.00582130885911,0.997847700239213,1.01385863304844,0.152896193064654
"Grade_cleanIII",2.85420705195879,2.04018309223831,3.99302294310931,9.22190470649101e-10
"Grade_cleanIV",4.85159059221042,3.3623528785643,7.00043455417301,3.12004862897952e-17
